CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,22187,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,18963,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,17646,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,14060,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,13325,,
GBR,United Kingdom,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,10766,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,1742,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,1858,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,2461,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,2981,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,2546,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,2510,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,2945,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,3406,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,3043,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,3273,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,3844,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,4802,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,4804,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,5716,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,5237,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,5074,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,5377,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,5526,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,5220,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,5517,,
VNM,Viet Nam,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,5101,,
